PROCESS,LINE,MODEL_NO
CUT,CNCCT900,C123HAT03
CUT,CNCCT600,C304RAT01
CUT,CNCCT910,C123HAN10
CUT,CNCCT903,C162IAX01
CUT,CNCCT901,C162IAX01
CUT,CNCCT909,C123HAX04
CUT,CNCCT900,C116HAX03
CUT,CNCCT908,C120UAA01
CUT,CNCCT901,C101HAX01
CUT,CNCCT900,C109HAX02
CUT,CNCCT910,C123HAX04
CUT,CNCCT900,H445DAN01
CUT,CNCCT907,B160QAN02
CUT,CNCCT901,B160QAN03
CUT,CNCCT90A,B170QAN01
CUT,CNCCT903,B180ZAN01
CUT,CNCCT90A,B160UAN06
CUT,CNCCT902,C162IAX01
CUT,CNCCT801,C179QAA02
CUT,CNCCT801,C169RAA01
CUT,CNCCT900,C156HAX02
CUT,CNCCT700,C156HAX02
CUT,CNCCT600,C123HAT03
CUT,CNCCT906,B140QAN08
CUT,CNCCT904,B173HAN05
CUT,CNCCT801,C179QAA01
CUT,CNCCT904,B133UAN02
CUT,CNCCT100,B156HAN09
CUT,CNCCT901,B160UAN01
CUT,CNCCT906,B160QAN02
CUT,CNCCT904,B140UAN02
CUT,CNCCT500,C103HAX01
CUT,CNCCT500,C146HAX01
CUT,CNCCT910,C162IAX01
CUT,CNCCT903,B133QAN03
CUT,CNCCT801,C103HAN04
CUT,CNCCT905,B133QAN03
CUT,CNCCT904,C109HAX02
CUT,CNCCT904,B140QAN04
CUT,CNCCT900,B160QAN05
CUT,CNCCT902,B180ZAN01
CUT,CNCCT801,C146HAX01
CUT,CNCCT910,C132IAA01
CUT,CNCCT902,C132IAA01
CUT,CNCCT801,C134HAA01
CUT,CNCCT901,H400DAN02
CUT,CNCCT90A,C132IAA01
CUT,CNCCT910,B140HAN06
CUT,CNCCT801,C122UAA01
CUT,CNCCT902,B160ZAN01
CUT,CNCCT901,B180QAN01
CUT,CNCCT904,C132IAA02
CUT,CNCCT200,B160QAN04
CUT,CNCCT900,B160QANAA
CUT,CNCCT906,B140HAN09
CUT,CNCCT100,B160QAN04
CUT,CNCCT904,B140UAN01
CUT,CNCCT903,B140UAX01
CUT,CNCCT903,C116HAX03
CUT,CNCCT900,C054VAA01
CUT,CNCCT90A,B180ZAN01
CUT,CNCCT801,B180ZAN01
CUT,CNCCT902,C156UAX01
CUT,CNCCT908,C129HAX03
CUT,CNCCT909,C146HAX02
CUT,CNCCT904,C145QAA01
CUT,CNCCT200,C156UAX01
CUT,CNCCT900,C215ZAA01
CUT,CNCCT801,B160QAN04
CUT,CNCCT908,C156HAX02
CUT,CNCCT904,B160UAN06
CUT,CNCCT801,C120UAA01
CUT,CNCCT100,B160UAN01
CUT,CNCCT90A,C206RAA01
CUT,CNCCT909,C156HAA01
CUT,CNCCT908,C129HAX01
CUT,CNCCT801,C146HAA02
CUT,CNCCT904,C271RAA01
CUT,CNCCT801,C168DAT01
CUT,CNCCT903,B160UAN01
CUT,CNCCT801,C215ZAA01
CUT,CNCCT909,C156HAX02
CUT,CNCCT901,C156UAX01
CUT,CNCCT903,C103HAN04
CUT,CNCCT905,B140UAX01
CUT,CNCCT90A,C112DAA01
CUT,CNCCT903,C080HAA01
CUT,CNCCT901,C146HAA03
CUT,CNCCT900,A079HAA01
CUT,CNCCT910,C163RAA01
CUT,CNCCT90A,C130HAA01
CUT,CNCCT900,B160UAX01
CUT,CNCCT901,C129HAX01
CUT,CNCCT903,B140QAN10
CUT,CNCCT801,C162IAA01
CUT,CNCCT700,C169RAA02
CUT,CNCCT900,C123HAX04
CUT,CNCCT900,H500DAN02
CUT,CNCCT900,C132IAA01
CUT,CNCCT900,C130UAU01
CUT,CNCCT900,B180QAN02
CUT,CNCCT900,B160UAN06
CUT,CNCCT700,C123HAX04
CUT,CNCCT400,B160UAN01
CUT,CNCCT906,B133UAN02
CUT,CNCCT400,C123HAN10
CUT,CNCCT903,C146HAX01
CUT,CNCCT700,B160QAN02
CUT,CNCCT908,B160QAN02
CUT,CNCCT903,H642DAX01
CUT,CNCCT900,H581DAX01
CUT,CNCCT600,C215RAX01
CUT,CNCCT905,B160UAN01
CUT,CNCCT905,B156HAN12
CUT,CNCCT90A,B160QAN03
CUT,CNCCT904,C103HAX01
CUT,CNCCT600,C123HAX04
CUT,CNCCT904,C116HAX02
CUT,CNCCT600,C179QAA02
CUT,CNCCT902,C116HAX02
CUT,CNCCT901,C103HAN04
CUT,CNCCT901,B173HAN05
CUT,CNCCT903,H606TAX01
CUT,CNCCT902,H580GAX01
CUT,CNCCT801,B140QAN03
CUT,CNCCT90A,C146HAX01
CUT,CNCCT801,C270RAX01
CUT,CNCCT801,C169RAA02
CUT,CNCCT906,B156ZAN03
CUT,CNCCT900,C163RAA01
CUT,CNCCT700,C179QAA01
CUT,CNCCT600,C169RAA02
CUT,CNCCT904,B133QAN03
CUT,CNCCT700,C103HAN04
CUT,CNCCT100,C146HAX01
CUT,CNCCT90A,C110DAC01
CUT,CNCCT905,B170QAN01
CUT,CNCCT904,H580GAX01
CUT,CNCCT500,C103HAN04
CUT,CNCCT500,B160QAN02
CUT,CNCCT100,C123HAX04
CUT,CNCCT400,C103HAX01
CUT,CNCCT903,B133UAN06
CUT,CNCCT904,H400DAN02
CUT,CNCCT100,C123HAN10
CUT,CNCCT901,C146HAA01
CUT,CNCCT902,B160QAN05
CUT,CNCCT902,C130UAU01
CUT,CNCCT700,C215RAX01
CUT,CNCCT908,C156HAA01
CUT,CNCCT900,Z467RAT01
CUT,CNCCT801,B160UAN01
CUT,CNCCT908,B160ZAN01
CUT,CNCCT903,C146HAA02
CUT,CNCCT903,B160QAN03
CUT,CNCCT902,C271RAA01
CUT,CNCCT905,B140UAN05
CUT,CNCCT903,C116HAX02
CUT,CNCCT400,C130UAU01
CUT,CNCCT903,B133UAN02
CUT,CNCCT904,C170UAX01
CUT,CNCCT100,B160ZAN01
CUT,CNCCT900,B140ZAN02
CUT,CNCCT900,C040EAN01
CUT,CNCCT903,B180QAN01
CUT,CNCCT200,C123HAN10
CUT,CNCCT903,C132IAA02
CUT,CNCCT200,B160ZAN01
CUT,CNCCT903,C271RAA01
CUT,CNCCT904,C156UAX01
CUT,CNCCT909,C116HAX03
CUT,CNCCT901,C271RAA01
CUT,CNCCT904,Y140UAN03
CUT,CNCCT801,Y160QAN03
CUT,CNCCT90A,B133QAA01
CUT,CNCCT906,B140UAX01
CUT,CNCCT901,C150DAA01
CUT,CNCCT801,C146HAX02
CUT,CNCCT903,C146HAA03
CUT,CNCCT801,Z156UAX01
CUT,CNCCT906,B140UAA01
CUT,CNCCT905,Y140UAN03
CUT,CNCCT801,C146HAA03
CUT,CNCCT905,B160QAN04
CUT,CNCCT903,B133UAX01
CUT,CNCCT903,Z156UAX01
CUT,CNCCT90A,C116HAX03
CUT,CNCCT903,C123HAN10
CUT,CNCCT900,C103HAX01
CUT,CNCCT900,H642GAX01
CUT,CNCCT900,C123HAN10
CUT,CNCCT900,B180QAN01
CUT,CNCCT700,C304RAT01
CUT,CNCCT903,C109HAX02
CUT,CNCCT908,C162IAX01
CUT,CNCCT801,B140QAN08
CUT,CNCCT909,C146HAX01
CUT,CNCCT900,B160UAN01
CUT,CNCCT902,B140QAN02
CUT,CNCCT910,B160QAN02
CUT,CNCCT902,C129HAX03
CUT,CNCCT900,Y160QAN03
CUT,CNCCT902,H642DAX01
CUT,CNCCT90A,C215RAX01
CUT,CNCCT902,H445DAN01
CUT,CNCCT902,C101HAX01
CUT,CNCCT900,B160QAN04
CUT,CNCCT901,C116HAX03
CUT,CNCCT903,C120HAT01
CUT,CNCCT700,C156HAA01
CUT,CNCCT600,C123HAN10
CUT,CNCCT900,H606TAX01
CUT,CNCCT900,B140QAX01
CUT,CNCCT908,C123HAN10
CUT,CNCCT901,B140QAN03
CUT,CNCCT900,C270RAX01
CUT,CNCCT900,C129HAX01
CUT,CNCCT801,B133UAN02
CUT,CNCCT902,B160UAN10
CUT,CNCCT900,B156HAN09
CUT,CNCCT905,B180ZAN01
CUT,CNCCT900,C156HAA01
CUT,CNCCT900,C160WAA01
CUT,CNCCT801,C162IAX01
CUT,CNCCT902,B140UAN01
CUT,CNCCT910,C156HAA01
CUT,CNCCT600,C262RAX01
CUT,CNCCT903,Y160QAN03
CUT,CNCCT906,B140QAN04
CUT,CNCCT300,B160QAN03
CUT,CNCCT100,C304RAT01
CUT,CNCCT901,B140QAN04
CUT,CNCCT903,C123HAX04
CUT,CNCCT904,B160QAN03
CUT,CNCCT904,C215RAX01
CUT,CNCCT900,B173ZAN06
CUT,CNCCT600,Z467RAT01
CUT,CNCCT903,C262RAX01
CUT,CNCCT906,B140QAX01
CUT,CNCCT903,C129HAX01
CUT,CNCCT910,C146HAX01
CUT,CNCCT600,C169RAA01
CUT,CNCCT90A,B160QAN02
CUT,CNCCT90A,H606TAX01
CUT,CNCCT904,C162IAX01
CUT,CNCCT100,B160QAN03
CUT,CNCCT903,C146HAX02
CUT,CNCCT801,C170UAX01
CUT,CNCCT90A,C129HAX01
CUT,CNCCT910,B160QAN04
CUT,CNCCT909,C132IAA01
CUT,CNCCT901,B160QAN02
CUT,CNCCT901,B170QAN01
CUT,CNCCT902,C206RAA01
CUT,CNCCT900,C271RAA01
CUT,CNCCT90A,B140HAN09
CUT,CNCCT904,C163RAA01
CUT,CNCCT902,C215RAX01
CUT,CNCCT902,B140QAX01
CUT,CNCCT801,B140UAN05
CUT,CNCCT100,C112DAA01
CUT,CNCCT903,C163RAA01
CUT,CNCCT903,C156HAA01
CUT,CNCCT300,B160QAN04
CUT,CNCCT905,B160QAN05
CUT,CNCCT200,C116HAX03
CUT,CNCCT908,B160UAN10
CUT,CNCCT901,B140UAN05
CUT,CNCCT901,C109HAX02
CUT,CNCCT100,C116HAX03
CUT,CNCCT200,C132IAA01
CUT,CNCCT900,C050HAN01
CUT,CNCCT90A,C170UAX01
CUT,CNCCT905,B180QAN02
CUT,CNCCT906,B180QAN02
CUT,CNCCT200,B153UAX01
CUT,CNCCT801,C156HAA01
CUT,CNCCT700,C160WAA01
CUT,CNCCT700,B140UAX01
CUT,CNCCT901,C156HAX02
CUT,CNCCT906,B140HAN06
CUT,CNCCT902,B133UAN02
CUT,CNCCT903,C215ZAA01
CUT,CNCCT200,C160WAA01
CUT,CNCCT902,C031VAN02
CUT,CNCCT90A,C146HAA02
CUT,CNCCT300,C156HAA01
CUT,CNCCT90A,B160UAA01
CUT,CNCCT901,B160UAX01
CUT,CNCCT900,Z156UAX01
CUT,CNCCT801,C088KAC01
CUT,CNCCT905,B160QAN07
CUT,CNCCT900,C215ZAA02
